v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
-0.796813965,1.593704224,1.781798431,-0.796813965,0.796844482,0.984938689,156.7652893,27.45989609,11.29999995,-0.062741257,0.125488522,0.14029909,-0.062741257,0.06274366,0.077554228,pen
-0.796875,3.984260559,4.063168956,-6.10352E-05,2.390556335,2.281370526,155.9684143,31.44415665,15.9000001,-0.062746063,0.313721306,0.319934565,-4.80592E-06,0.188232783,0.179635475,pen
-0.796844482,3.187400818,3.285496173,3.05176E-05,-0.796859741,-0.777672783,155.1715698,34.63155746,19.19999993,-0.06274366,0.250976444,0.258700488,2.40296E-06,-0.062744862,-0.061234078,pen
0.796875,0,0.796875,0.796875,0,0.796875,140.0314026,33.83470535,13,0.062746063,0,0.062746063,0.062746063,0,0.062746063,pen
0,0.796852112,0.796852112,-0.796875,0.796852112,-2.28882E-05,140.0314026,34.63155746,12.20000005,0,0.062744261,0.062744261,-0.062746063,0.062744261,-1.80222E-06,pen
0,0.796855927,0.796855927,0,3.8147E-06,3.8147E-06,140.0314026,35.42841339,11.69999993,0,0.062744561,0.062744561,0,3.0037E-07,3.0037E-07,pen
0.796813965,5.577949524,5.634574819,0.796813965,4.781093597,4.837718892,140.8282166,41.00636292,18.10000002,0.062741257,0.439208626,0.443667311,0.062741257,0.376464065,0.38092275,pen
0.796875,4.781112671,4.847065931,6.10352E-05,-0.796836853,-0.787508888,141.6250916,45.78747559,17.5,0.062746063,0.376465567,0.381658737,4.80592E-06,-0.06274306,-0.062008574,pen
1.593719482,8.765369415,8.909076427,0.796844482,3.984256744,4.062010496,143.218811,54.552845,17.39999998,0.125489724,0.690186572,0.701502085,0.06274366,0.313721005,0.319843348,pen
1.593688965,12.74962997,12.84884855,-3.05176E-05,3.984260559,3.939772121,144.8125,67.30247498,19.60000002,0.125487321,1.003907878,1.011720364,-2.40296E-06,0.313721306,0.310218279,pen
0.796813965,7.171653748,7.215783393,-0.796875,-5.577976227,-5.633065155,145.609314,74.47412872,17.79999995,0.062741257,0.564697149,0.568171924,-0.062746063,-0.439210729,-0.44354844,pen
4.781158447,15.93702698,16.63875912,3.984344482,8.76537323,9.422975725,150.3904724,90.4111557,36.60000002,0.376469171,1.254884021,1.310138521,0.313727914,0.690186872,0.741966597,pen
0.796844482,4.7811203,4.847068439,-3.984313965,-11.15590668,-11.79169068,151.1873169,95.192276,22.89999998,0.06274366,0.376466167,0.381658934,-0.313725511,-0.878417854,-0.928479586,pen
0.796875,0.796859741,1.126940643,3.05176E-05,-3.984260559,-3.720127796,151.9841919,95.98913574,13.5,0.062746063,0.062744862,0.088735484,2.40296E-06,-0.313721306,-0.29292345,pen
0,0,0,0,0,0,210.1542969,20.28823853,12.30000007,0,0,0,0,0,0,pen
0,0,0,0,0,0,210.1542969,20.28823853,10.5,0,0,0,0,0,0,pen
