pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.430664063,84.10000002,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,216.1993713,366.3213501,10.80000007,pen
0.193359375,66.20000005,-0.33480835,-0.334777832,0.47346893,-0.33480835,-0.334777832,0.47346893,213.1861267,375.361084,11.29999995,pen
0.415039063,65.89999998,0,0,0,0,0,0,209.5033264,385.4051819,11.29999995,pen
0.630859375,266.5,0,0,0,0,0,0,239.3008118,353.9335938,14,pen
0.541992188,96.19999993,-0.334777832,0.33480835,0.47346893,-0.334777832,0.33480835,0.47346893,233.6091614,358.2860718,11.20000005,pen
0.427734375,55.10000002,0,0,0,0,0,0,249.3450012,355.6076355,11.5,pen
0.3515625,109.5,0.334838867,0,0.334838867,0.334838867,0,0.334838867,232.269989,364.9821472,12.5,pen
0.559570313,98,-0.334716797,0,0.334716797,-0.334716797,0,0.334716797,234.2788391,369.3345642,11.69999993,pen
0.192382813,86.89999998,-0.334899902,-0.334777832,0.473533675,-0.334899902,-0.334777832,0.473533675,235.6179504,372.3478394,13.5,pen
0.443359375,75.29999995,0,0,0,0,0,0,239.3008118,372.3478394,11.79999995,pen
0.399414063,110.3,0,0,0,0,0,0,244.6577454,377.0350952,10.89999998,pen
0.586914063,996,0.33480835,0,0.33480835,0.33480835,0,0.33480835,85.62579346,415.8723755,11.60000002,pen
0.2265625,57.9000001,-0.334838867,0,0.334838867,-0.334838867,0,0.334838867,98.0135498,414.8679199,12.89999998,pen
0.666992188,113.5,0.33480835,0,0.33480835,0.33480835,0,0.33480835,103.035614,417.2115784,12.10000002,pen
0.727539063,238.2,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,118.7714233,411.1850586,11.60000002,pen
0.510742188,127.9,0,0.334747314,0.334747314,0,0.334747314,0.334747314,118.7714233,411.1850586,11,pen
0.6953125,159.2,0,0.334747314,0.334747314,0,0.334747314,0.334747314,140.8684692,397.4580994,11.5,pen
0.497070313,121.1,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,127.8111267,406.4978638,11.70000005,pen
0.4921875,90.19999993,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,130.1547852,410.1806641,12.89999998,pen
0.45703125,105.5,0,0,0,0,0,0,131.8287964,415.2027283,11.39999998,pen
